# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-2 -3 0 ffffff
-1 -3 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-2 -2 1 ffffff
-1 -2 1 ffffff
-2 -1 1 ffffff
-1 -1 1 ffffff
-1 -2 2 ffffff
-2 -1 2 ffffff
-1 -1 2 ffffff
-1 -2 3 ffffff
-2 -1 3 ffffff
-1 -1 3 ffffff
-1 -2 4 ffffff
-2 -1 4 ffffff
-1 -1 4 ffffff
-1 -2 5 ffffff
-2 -1 5 ffffff
-1 -1 5 ffffff
-1 -2 6 ffffff
-2 -1 6 ffffff
-1 -1 6 ffffff
-1 -2 7 ffffff
-2 -1 7 ffffff
-1 -1 7 ffffff
-3 -3 8 ffffff
-2 -2 8 ffffff
-1 -2 8 ffffff
-2 -1 8 ffffff
-1 -1 8 ffffff
-3 -4 9 ffffff
-4 -3 9 ffffff
-3 -3 9 ffffff
-2 -3 9 ffffff
-1 -3 9 ffffff
-3 -2 9 ffffff
-2 -2 9 ffffff
-1 -2 9 ffffff
-3 -1 9 ffffff
-2 -1 9 ffffff
-1 -1 9 ffffff
-3 -4 10 ffffff
-4 -3 10 ffffff
-3 -3 10 ffffff
-3 -4 11 ffffff
-4 -3 11 ffffff
-3 -4 12 ffffff
-4 -3 12 ffffff
0 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
0 -2 1 ffffff
0 -1 1 ffffff
0 -1 2 ffffff
0 -1 3 ffffff
0 -1 4 ffffff
0 -1 5 ffffff
0 -1 6 ffffff
0 -1 7 ffffff
1 -3 8 ffffff
0 -2 8 ffffff
0 -1 8 ffffff
1 -4 9 ffffff
0 -3 9 ffffff
1 -3 9 ffffff
2 -3 9 ffffff
0 -2 9 ffffff
1 -2 9 ffffff
0 -1 9 ffffff
1 -1 9 ffffff
1 -4 10 ffffff
1 -3 10 ffffff
2 -3 10 ffffff
1 -4 11 ffffff
2 -3 11 ffffff
1 -4 12 ffffff
2 -3 12 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
-2 0 1 ffffff
-1 0 1 ffffff
-1 0 2 ffffff
-1 0 3 ffffff
-1 0 4 ffffff
-1 0 5 ffffff
-1 0 6 ffffff
-1 0 7 ffffff
-2 0 8 ffffff
-1 0 8 ffffff
-3 1 8 ffffff
-3 0 9 ffffff
-2 0 9 ffffff
-1 0 9 ffffff
-4 1 9 ffffff
-3 1 9 ffffff
-2 1 9 ffffff
-1 1 9 ffffff
-3 2 9 ffffff
-4 1 10 ffffff
-3 1 10 ffffff
-3 2 10 ffffff
-4 1 11 ffffff
-3 2 11 ffffff
-4 1 12 ffffff
-3 2 12 ffffff
0 0 0 ffffff
1 0 0 ffffff
0 1 0 ffffff
0 0 1 ffffff
0 0 8 ffffff
1 1 8 ffffff
0 0 9 ffffff
1 0 9 ffffff
0 1 9 ffffff
1 1 9 ffffff
2 1 9 ffffff
1 2 9 ffffff
1 1 10 ffffff
2 1 10 ffffff
1 2 10 ffffff
2 1 11 ffffff
1 2 11 ffffff
2 1 12 ffffff
1 2 12 ffffff
